Ticker,Date/Time,Open,High,Low,Close,Pivot,R2,S1,R1,S2,R3,S3,ADX,RSI,composite,EMA1,EMA2,ADXs,MACD,Magic
Nifty 90's,30-06-2003,1006.85,1141.3,1004.7,1134.15,983.82,1066.87,953.78,1036.83,900.77,1149.92,817.72,14.03,54,64.02,1043.5,1051.92,1.01,11.79,1
Nifty 90's,31-07-2003,1133.95,1198.5,1089.3,1185.85,1093.38,1229.98,1045.47,1182.07,956.78,1366.58,820.18,13.67,56.74,87.83,1090.95,1064.68,1.2,20.85,1
Nifty 90's,29-08-2003,1185.8,1365.8,1164.75,1356.55,1157.88,1267.08,1117.27,1226.47,1048.68,1376.28,939.48,14.67,64.3,101.22,1179.48,1092.48,1.77,36.67,1
Nifty 90's,30-09-2003,1356.7,1430.7,1285.25,1417.1,1295.7,1496.75,1225.6,1426.65,1094.65,1697.8,893.6,16.01,66.53,106.12,1258.69,1123.39,2,48.79,1
Nifty 90's,31-10-2003,1416.6,1574.1,1407.95,1555.9,1377.68,1523.13,1324.67,1470.12,1232.23,1668.58,1086.78,18.01,71.01,118.31,1357.76,1164.58,2.57,62.83,1
Nifty 90's,28-11-2003,1556.5,1630.25,1509.15,1615.25,1512.65,1678.8,1451.2,1617.35,1346.5,1844.95,1180.35,20.12,72.69,120.23,1443.59,1207.5,2.81,72.13,1
Nifty 90's,31-12-2003,1615.85,1914.4,1615.7,1879.75,1584.88,1705.98,1539.52,1660.62,1463.78,1827.08,1342.68,23.03,78.64,132.93,1588.98,1271.53,4.11,90.89,1
Nifty 90's,30-01-2004,1880.35,2014.65,1756.25,1809.75,1803.28,2101.98,1692.17,1990.87,1504.58,2400.68,1205.88,25.98,74.04,125.23,1662.57,1322.79,4.61,93.05,1
Nifty 90's,27-02-2004,1809.3,1935.8,1755.65,1800.3,1860.22,2118.62,1705.78,1964.18,1601.82,2377.02,1343.42,28.72,73.42,112.55,1708.48,1368.26,4.6,88.35,1
Nifty 90's,31-03-2004,1798.35,1898.7,1669.7,1771.9,1830.58,2010.73,1725.37,1905.52,1650.43,2190.88,1470.28,30.31,71.47,91.85,1729.62,1406.71,3.08,78.17,0
Nifty 90's,30-04-2004,1771.45,1912.35,1771.45,1796.1,1780.1,2009.1,1661.5,1890.5,1551.1,2238.1,1322.1,31.83,72.15,86.87,1751.78,1443.79,3.14,68.28,0
Nifty 90's,31-05-2004,1796.1,1837.95,1292.2,1483.6,1826.63,1967.53,1740.92,1881.82,1685.73,2108.43,1544.83,29.57,54.22,41.63,1662.39,1447.58,1,37.45,0
Nifty 90's,30-06-2004,1483.9,1566.5,1437.9,1505.6,1537.92,2083.67,1237.88,1783.63,992.17,2629.42,446.42,27.47,55.06,26.18,1610.12,1453.11,1,16.36,0
Nifty 90's,30-07-2004,1506.65,1638.7,1472.55,1632.3,1503.33,1631.93,1440.17,1568.77,1374.73,1760.53,1246.13,25.92,59.69,20.36,1617.52,1470.17,1.12,9.13,0
Nifty 90's,31-08-2004,1631.55,1658.9,1573.7,1631.75,1581.18,1747.33,1523.67,1689.82,1415.03,1913.48,1248.88,24.59,59.66,30.47,1622.26,1485.56,1.16,2.83,0
Nifty 90's,30-09-2004,1631.7,1760.8,1619.9,1745.5,1621.45,1706.65,1584,1669.2,1536.25,1791.85,1451.05,23.9,63.56,45.06,1663.34,1510.32,1.35,4.72,1
Nifty 90's,29-10-2004,1744.4,1829.45,1737.85,1786.9,1708.73,1849.63,1656.67,1797.57,1567.83,1990.53,1426.93,23.61,64.89,59.47,1704.53,1536.66,1.49,7.03,1
Nifty 90's,30-11-2004,1787.3,1963.8,1776.7,1958.8,1784.73,1876.33,1740.02,1831.62,1693.13,1967.93,1601.53,23.95,69.82,77.4,1789.28,1576.86,1.79,17.79,1
Nifty 90's,31-12-2004,1960.75,2088.45,1944.5,2080.5,1899.77,2086.87,1835.73,2022.83,1712.67,2273.97,1525.57,24.75,72.74,88.99,1886.36,1624.83,2.09,30.03,1
Nifty 90's,31-01-2005,2080,2120.15,1894.4,2057.6,2037.82,2181.77,1987.18,2131.13,1893.87,2325.72,1749.92,25.12,71.34,89,1943.44,1666.04,1.85,33.27,1
Nifty 90's,28-02-2005,2057.75,2110.15,2036.6,2103.25,2024.05,2249.8,1927.95,2153.7,1798.3,2475.55,1572.55,25.45,72.48,107.39,1996.71,1707.68,1.85,34.99,1
Nifty 90's,31-03-2005,2103.1,2183.45,1971.15,2035.65,2083.33,2156.88,2056.52,2130.07,2009.78,2230.43,1936.23,26.08,68.17,90.74,2009.69,1738.92,2.04,28.36,1
Nifty 90's,29-04-2005,2035.9,2084.9,1896.3,1902.5,2063.42,2275.72,1943.38,2155.68,1851.12,2488.02,1638.82,26.04,60.54,60.19,1973.96,1754.5,1.69,12.6,0
Nifty 90's,31-05-2005,1903.1,2099.35,1898.15,2087.55,1961.23,2149.83,1837.57,2026.17,1772.63,2338.43,1584.03,26.08,66.2,58.27,2011.82,1786.22,1.72,12.23,0
Nifty 90's,30-06-2005,2087.8,2226.15,2061.35,2220.6,2028.35,2229.55,1957.35,2158.55,1827.15,2430.75,1625.95,26.7,69.58,63.84,2081.42,1827.59,2.07,18.16,0
Nifty 90's,29-07-2005,2220.45,2332.55,2171.25,2312.3,2169.37,2334.17,2112.58,2277.38,2004.57,2498.97,1839.77,27.71,71.68,82.43,2158.38,1873.75,2.38,25.06,1
Nifty 90's,31-08-2005,2312.05,2426.65,2294.25,2384.65,2272.03,2433.33,2211.52,2372.82,2110.73,2594.63,1949.43,28.98,73.25,86.42,2233.8,1922.41,2.67,30.91,1
Nifty 90's,30-09-2005,2384.7,2633.9,2382.9,2601.4,2368.52,2500.92,2310.38,2442.78,2236.12,2633.32,2103.72,30.79,77.31,93.01,2356.33,1987.07,3.38,44.95,1
